"Method","Time (ms)","Avg. Time (ms)","Own Time (ms)","Count"
"java.nio.MappedByteBuffer.rewind() MappedByteBuffer.java","51","< 0.1","34","7919"
"sun.nio.ch.Util.isBufferTooLarge(ByteBuffer) Util.java","51","< 0.1","34","7920"
"java.nio.MappedByteBuffer.position(int) MappedByteBuffer.java","51","< 0.1","34","7920"
"java.nio.MappedByteBuffer.limit(int) MappedByteBuffer.java","51","< 0.1","34","7919"
"org.takes.rq.RqLive.checkLineFeed(InputStream, ByteArrayOutputStream, Integer) RqLive.java","49","0.1","1","275"
"org.cactoos.iterable.IterableEnvelope.iterator() IterableEnvelope.java","49","< 0.1","3","880"
"org.takes.misc.Href.<init>(CharSequence) Href.java","48","0.4","0.9","110"
"java.io.ByteArrayOutputStream.write(int) ByteArrayOutputStream.java","47","< 0.1","32","7260"
"org.takes.rq.RqRequestLine$Base.matcher(String) RqRequestLine.java","46","0.4","0.7","110"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder","44","< 0.1","28","8085"
"java.util.regex.Pattern$GroupHead.match(Matcher, int, CharSequence) Pattern.java","43","0.1","1","330"
"org.cactoos.text.TextOfScalar.<init>(Scalar) TextOfScalar.java","41","< 0.1","41","24640"
"java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object) Invokers$Holder","41","< 0.1","41","24200"
"org.cactoos.iterator.Mapped$1.hasNext() Mapped.java","40","< 0.1","4","1375"
"org.cactoos.iterator.IteratorEnvelope.hasNext() IteratorEnvelope.java","40","< 0.1","2","880"
"java.util.regex.Pattern$GroupTail.match(Matcher, int, CharSequence) Pattern.java","39","0.1","1","330"
"java.util.regex.Pattern$CharPropertyGreedy.match(Matcher, int, CharSequence) Pattern.java","37","0.1","9","220"
"java.util.stream.IntPipeline.forEachWithCancel(Spliterator, Sink) IntPipeline.java","36","< 0.1","8","660"
"java.lang.ThreadLocal$ThreadLocalMap.getEntry(ThreadLocal) ThreadLocal.java","34","< 0.1","34","15840"
"sun.nio.ch.Util.isBufferTooLarge(int) Util.java","34","< 0.1","34","15840"
"org.cactoos.text.Lowered.lambda$new$0(Locale, String) Lowered.java","33","< 0.1","14","3960"
"java.net.URI$Parser.parse(boolean) URI.java","32","0.1","3","220"
"java.util.Formatter$Flags.contains(Formatter$Flags) Formatter.java","32","< 0.1","19","3685"
"sun.nio.ch.NioSocketImpl.ensureOpenAndConnected() NioSocketImpl.java","32","< 0.1","32","15235"
"java.util.AbstractSequentialList.iterator() AbstractSequentialList.java","32","< 0.1","5","1595"
"org.takes.rs.RsWithHeader.<init>(Response, CharSequence, CharSequence) RsWithHeader.java","31","0.1","1","165"
"org.cactoos.iterable.Filtered.lambda$new$0(Func, Iterable) Filtered.java","31","0.1","1","220"
"java.util.regex.Pattern.lambda$Range$10(int, int, int) Pattern.java","30","< 0.1","20","6105"
"org.takes.misc.Href.<init>(URI) Href.java","29","0.2","1","110"
"org.takes.rq.RqLive.newHeader(Opt, ByteArrayOutputStream) RqLive.java","28","0.1","5","220"
"sun.nio.ch.SocketDispatcher.read0(FileDescriptor, long, int) SocketDispatcher.java (native)","28","< 0.1","28","7810"
"org.takes.rs.RsWithType.<init>(Response, CharSequence) RsWithType.java","27","0.2","0.6","110"
"org.takes.rs.RsWithStatus.lambda$new$0(Response, int, CharSequence) RsWithStatus.java","26","0.4","0.1","55"
"org.cactoos.text.FormattedText.<init>(Text, Locale, Collection) FormattedText.java","26","< 0.1","4","660"
"org.takes.rs.RsWithStatus.head(Response, int, CharSequence) RsWithStatus.java","26","0.4","1","55"
"java.util.LinkedList.listIterator(int) LinkedList.java","26","< 0.1","8","1595"
"org.takes.rs.RsWithType.<init>(Response, CharSequence, Opt) RsWithType.java","26","0.2","0.5","110"
"org.takes.rs.RsText.<init>(CharSequence) RsText.java","26","0.4","0.3","55"
"java.util.Formatter.parse(String) Formatter.java","25","< 0.1","11","935"
"java.util.LinkedList.<init>() LinkedList.java","25","< 0.1","17","4840"
"sun.nio.ch.NioSocketImpl.timedAccept(FileDescriptor, FileDescriptor, InetSocketAddress[], long) NioSocketImpl.java","25","0.2","0","110"
"org.takes.rs.RsWithType.make(Response, CharSequence, Opt) RsWithType.java","25","0.2","0.9","110"
"java.net.Socket.getLocalSocketAddress() Socket.java","25","0.2","2","110"
"org.cactoos.bytes.BytesOf.lambda$new$0(CharSequence, Charset) BytesOf.java","25","< 0.1","22","10560"
"java.util.LinkedList$ListItr.hasNext() LinkedList.java","24","< 0.1","24","14465"
"java.net.URI$Parser.parseHierarchical(int, int) URI.java","24","0.1","3","220"
"java.util.regex.Pattern$CharPredicate.lambda$negate$3(int) Pattern.java","24","< 0.1","16","4510"
"java.net.Socket.getLocalAddress() Socket.java","23","0.1","2","165"
"org.takes.rs.RsText.<init>(Response, CharSequence) RsText.java","23","0.4","0.4","55"
"java.util.Formatter$FormatSpecifier.print(String, Locale) Formatter.java","23","< 0.1","7","1430"
"sun.nio.ch.Net.available(FileDescriptor) Net.java (native)","23","< 0.1","23","7315"
"org.cactoos.iterable.Joined.lambda$new$0(Iterable) Joined.java","22","0.1","1","220"
"java.util.LinkedList.size() LinkedList.java","22","< 0.1","22","11165"
